site,sdate,gear,utmzone,utm_e,utm_n,temp,fishcode,length,tfs,catch,weight
BEDROCK,9/21/1998,HL,15,807554,4168735,25.2,FHCF,322,,1,350
Cottonwood,9/23/2019,HS,15,807629,4168900,25.1,FHCF,324,T,1,296
,9/18/2013,D,15,814029,4151098,25,FHCF,324,T,1,310
,7/18/1991,F,15,821616,4108957,28.3,FHCF,325,T,1,500
,6/29/1992,H,15,809534,4155918,26.8,FHCF,326,T,1,340
,9/17/2019,D,15,813929,4127449,26.1,FHCF,326,T,1,354
,10/19/2015,D,16,276889,4160258,17.2,FHCF,328,T,1,336
BUMGARD,9/4/1991,N,15,822375,4106344,26,FHCF,328,T,1,350
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,328,T,1,362
Marquette,10/1/2019,HS,15,809529,4131249,23.9,FHCF,329,T,1,323
,9/17/2019,D,15,816779,4145749,26.4,FHCF,329,T,1,330
,8/18/1992,F,15,807473,4163214,25.2,FHCF,329,T,1,345
DITCH,10/31/2003,D,15,808008,4127667,16.5,FHCF,329,T,1,345
NEELYS,9/21/1998,F,15,809534,4155918,25.3,FHCF,331,,1,350
,9/11/2023,D,15,809329,4156950,26.4,FHCF,331,T,1,414
299,9/25/2009,D,16,282044,4117431,23.6,FHCF,334,T,1,320
435,10/5/2020,D,16,280293,4151653,18,FHCF,335,T,1,376
,8/5/1991,X,15,584040,4909047,25,FHCF,335,T,1,453
NEELYS,10/7/2019,F,15,809534,4155918,21.1,FHCF,336,T,1,346
,10/22/1992,H,15,816643,4143917,13.4,FHCF,338,T,1,340
Bumgard,9/27/2021,D,15,822630,4106049,20.6,FHCF,338,T,1,404
,10/22/2010,D,15,819830,4115399,16.7,FHCF,339,T,1,390
,10/21/2010,D,15,809179,4133999,17,FHCF,341,T,1,345
,9/17/2019,D,15,816779,4145749,26.4,FHCF,342,T,1,390
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,343,T,1,406
,9/17/2019,D,15,816779,4145749,26.4,FHCF,344,T,1,355
,10/9/2020,D,15,822430,4109599,18.5,FHCF,344,T,1,389
452,10/21/2004,D,16,279800,4151381,15.3,FHCF,345,T,1,405
SCHIN,6/17/1992,N,15,815993,4144592,28.3,FHCF,346,T,1,410
NEELYS,9/21/1998,HL,15,809534,4155918,25.3,FHCF,347,,1,400
,9/3/1991,H,15,816121,4119896,27.3,FHCF,347,T,1,450
,9/29/2021,D,15,808729,4128799,23.2,FHCF,348,T,1,434
SCHIN,9/3/1992,F,15,815993,4144592,25.7,FHCF,349,T,1,350
DITCH,9/16/2019,D,15,808008,4127667,29.1,FHCF,354,T,1,362
BUMGARD,9/3/1991,F,15,822375,4106344,26.4,FHCF,354,T,1,465
,10/7/2015,HS,16,277196,4129532,19.9,FHCF,355,T,1,400
,10/21/2010,D,15,817929,4142349,17,FHCF,355,T,1,550
MUDDY,10/5/2020,D,15,808293,4164767,18.1,FHCF,359,T,1,445
BUMGARD,9/27/2002,D,16,288337,4103810,23.2,FHCF,360,T,1,350
BEDROCK,6/26/1991,H,15,807321,4167599,27,FHCF,360,T,1,425
,9/20/2007,D,15,807329,4167200,23.1,FHCF,360,T,1,460
,10/7/1991,N,15,531009,4939853,11,FHCF,360,T,1,557
MARQ,10/7/1991,M,15,810914,4129126,18.3,FHCF,362,T,1,390
MARQUETTE,10/23/2013,HS,15,810679,4129548,15.8,FHCF,362,T,1,438
,9/17/2019,D,15,816779,4145749,26.4,FHCF,363,T,1,470
,9/10/1991,N,15,813867,4151315,25,FHCF,363,T,1,490
Marquette,9/21/2018,D,15,810579,4129349,25.4,FHCF,363,T,1,554
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,364,T,1,416
,9/3/1991,N,15,531009,4939853,23,FHCF,364,T,1,600
,6/29/1992,H,15,807473,4163214,26.9,FHCF,365,T,1,450
,9/30/2019,D,15,813929,4125699,23.6,FHCF,365,T,1,490
,6/29/1992,H,15,809534,4155918,26.8,FHCF,366,T,1,450
,9/3/1991,N,15,530985,4940020,23,FHCF,366,T,1,566
,8/25/2023,D,15,809229,4131799,29.8,FHCF,367,T,1,472
,9/21/1992,H,15,807917,4167674,23,FHCF,368,T,1,535
,9/30/1992,N,15,816643,4143917,19.3,FHCF,370,T,1,455
,9/16/1991,N,15,813867,4151315,25,FHCF,370,T,1,460
M040.4E,10/4/2000,D,15,815870,4120079,20.4,FHCF,370,,1,460
SANTA FE,7/18/1991,F,15,817400,4118593,28,FHCF,370,T,1,500
,7/18/1991,F,15,821616,4108957,28.3,FHCF,370,T,1,525
Marquette,10/1/2019,HL,15,809529,4131249,23.8,FHCF,372,T,1,464
BUMGARD,9/24/1992,D,15,822375,4106344,20.8,FHCF,374,T,1,480
,10/1/1992,N,15,811224,4136689,19,FHCF,375,T,1,510
,9/4/1991,N,15,823725,4104652,26,FHCF,375,T,1,515
SANTA FE,10/10/1991,F,15,817400,4118593,18.8,FHCF,375,T,1,655
MARQ,6/23/1992,N,15,809111,4131604,24.5,FHCF,376,T,1,500
Marquette,9/21/2020,D,15,811179,4129249,21.7,FHCF,376,T,1,533
,10/24/2011,D,16,278930,4153898,15.7,FHCF,379,T,1,542
,10/9/2020,D,15,822430,4109599,18.5,FHCF,379,T,1,672
,8/17/1992,H,15,807917,4167674,25.2,FHCF,380,T,1,475
SCHIN,9/26/1991,D,15,816162,4145151,17.2,FHCF,380,T,1,505
D2,10/13/2006,D,15,814427,4128114,17.5,FHCF,380,T,1,510
Marquette,10/16/2020,D,15,809129,4132399,18.3,FHCF,380,T,1,546
,9/25/2009,D,15,819930,4113349,23.6,FHCF,380,T,1,675
,8/5/1991,H,15,809534,4155918,27.8,FHCF,382,T,1,565
NEELYS,9/21/2009,F,15,809534,4155918,23.8,FHCF,385,T,1,520
,9/17/2019,D,15,816779,4145749,26.4,FHCF,385,T,1,603
Cottonwood,9/23/2019,HS,15,807629,4168900,25.1,FHCF,386,T,1,481
,7/11/1991,D,15,810489,4128656,29,FHCF,386,T,1,650
,9/17/2019,D,15,816779,4145749,26.4,FHCF,387,T,1,578
BEDROCK,10/15/1992,F,15,807321,4167599,16.9,FHCF,388,T,1,520
,10/1/1992,N,16,275798,4125010,19.7,FHCF,388,T,1,590
,10/16/1991,H,15,816121,4119896,16.1,FHCF,391,T,1,535
SCHENIMANN,9/19/2002,D,16,284957,4141840,25.5,FHCF,391,T,1,550
Schineman,10/7/2019,HS,15,815829,4143099,21.2,FHCF,392,T,1,644
,9/30/2013,D,15,823230,4104448,23,FHCF,392,T,1,720
,6/15/2004,HS,15,807879,4169050,26,FHCF,394,T,1,335
COTTONWOOD,10/16/2013,D,15,807429,4167550,21,FHCF,396,T,1,644
356,10/21/2009,HS,16,285425,4143253,,FHCF,399,T,1,550
BEDROCK,10/6/1997,HL,15,807279,4167150,21.9,FHCF,399,,1,610
,9/17/2007,HL,15,822580,4106248,23.3,FHCF,400,T,1,560
M045.3E,9/26/2002,D,16,282084,4124044,21.7,FHCF,400,T,1,700
SCHIN,7/6/1992,H,15,815993,4144592,27.1,FHCF,402,T,1,620
,8/28/1992,D,15,810646,4155129,25.3,FHCF,402,T,1,630
,9/30/2019,D,15,813929,4125699,23.6,FHCF,402,T,1,678
,10/17/2008,D,16,285045,4144771,19.4,FHCF,402,T,1,765
,8/12/1992,D,15,811224,4136689,26.6,FHCF,403,T,1,615
M045.3E,9/26/2002,D,16,282084,4124044,21.7,FHCF,404,T,1,650
,10/21/2010,D,15,817929,4142349,17,FHCF,404,T,1,775
,10/3/2016,D,15,810429,4154200,21.1,FHCF,405,T,1,612
,10/29/2012,D,15,821230,4107648,14.3,FHCF,405,T,1,640
,9/23/2019,HL,15,807279,4162550,25.1,FHCF,406,T,1,665
,10/19/2015,D,15,806863,4164360,17.2,FHCF,406,T,1,723
MARQ,10/7/1991,F,15,810914,4129126,18.3,FHCF,409,T,1,575
,10/13/2011,D,15,808929,4132199,19,FHCF,409,T,1,726
,10/7/2019,HS,15,816829,4144299,21.2,FHCF,409,T,1,738
,10/26/2010,HL,16,288762,4105216,16.6,FHCF,411,T,1,635
MARQ,7/29/1992,F,15,809111,4131604,26.4,FHCF,411,T,1,675
,10/4/2011,HL,15,811229,4129149,19.4,FHCF,412,T,1,880
MARQUETTE,10/16/2013,D,15,811129,4129298,19.5,FHCF,414,T,1,598
,9/28/2021,HS,15,816030,4119449,23.5,FHCF,414,T,1,690
Marquette,10/1/2019,HL,15,809529,4131249,23.8,FHCF,414,T,1,697
,10/7/2011,D,15,816579,4138549,19.4,FHCF,415,T,1,604
,10/27/2023,D,15,818380,4114599,17.7,FHCF,416,T,1,782
,9/22/1992,F,15,810646,4155129,22.1,FHCF,417,T,1,630
BEDROCK,9/21/1992,M,15,807321,4167599,23,FHCF,417,,1,700
MARQUETTE,10/3/2001,HL,16,278590,4126900,19.7,FHCF,419,,1,710
,10/16/2020,D,15,808829,4128749,18,FHCF,419,T,1,842
MUDDY,10/21/2005,D,15,808293,4164767,17.8,FHCF,420,T,1,705
,10/20/2008,HS,15,813779,4126999,18,FHCF,421,T,1,925
482,10/1/2021,D,16,278895,4155536,23.5,FHCF,422,T,1,808
BUMGARD,9/3/1991,F,15,822375,4106344,26.4,FHCF,423,T,1,690
,10/28/2011,D,15,822530,4106148,15.1,FHCF,423,T,1,710
,8/25/1992,H,15,811224,4136689,26.8,FHCF,423,T,1,750
BUMGARD,9/3/1991,F,15,822375,4106344,26.4,FHCF,425,T,1,715
M031.3E,10/17/2000,D,15,821826,4107393,16,FHCF,426,,1,745
5,9/21/2020,D,16,276730,4129308,21.2,FHCF,427,T,1,790
,10/27/1992,D,16,275798,4125010,16.6,FHCF,428,T,1,710
,9/11/1990,N,15,534254,4938789,24.7,FHCF,429,T,1,1000
,8/7/2023,D,15,818080,4117999,27.4,FHCF,430,T,1,728
,9/17/2013,HL,15,813429,4138498,26.1,FHCF,430,T,1,763
200,10/16/2007,HL,16,288318,4104159,19.4,FHCF,430,T,1,790
,9/7/1990,D,15,534254,4938789,25.4,FHCF,433,T,1,750
,9/29/2020,HS,15,815179,4121099,20.7,FHCF,434,T,1,956
Marquette,10/1/2019,HS,15,809529,4131249,23.9,FHCF,435,T,1,773
M032.7W,10/21/1998,D,15,821880,4109549,18.6,FHCF,435,,1,780
,6/29/1992,H,15,807473,4163214,26.9,FHCF,435,T,1,875
,7/23/1991,N,15,574927,4916798,26,FHCF,438,T,1,825
,9/29/2008,HS,15,808979,4132149,22.7,FHCF,438,T,1,920
,9/17/2018,D,15,811529,4138249,24.2,FHCF,438,T,1,1142
D2,10/13/2006,D,15,814427,4128114,17.5,FHCF,440,T,1,680
BUMGARD,9/3/1991,F,15,822375,4106344,26.4,FHCF,440,T,1,800
,10/12/2021,HL,15,816229,4145999,23.1,FHCF,440,T,1,900
,9/26/2008,D,15,817230,4118799,22.4,FHCF,440,T,1,930
SANATA FE,9/25/2014,D,15,820730,4114049,20.4,FHCF,441,T,1,970
Cottonwood,9/26/2019,D,15,807429,4167300,24.3,FHCF,442,T,1,866
DITCH,10/19/2020,F,15,808008,4127667,15.8,FHCF,442,T,1,974
Cottonwood,9/23/2019,HL,15,807629,4168900,25.1,FHCF,446,T,1,905
,10/10/2006,HS,15,817080,4117499,18.8,FHCF,450,T,1,1020
,10/13/2011,D,15,808929,4132199,19,FHCF,452,T,1,910
,9/29/2008,HL,15,818230,4117849,23.4,FHCF,452,T,1,1100
BUMGARD,9/27/2002,D,16,288337,4103810,23.2,FHCF,455,T,1,950
,7/23/1991,N,15,575297,4916802,26,FHCF,455,T,1,1130
,9/25/2009,D,15,819930,4113349,23.6,FHCF,456,T,1,1090
BUMGARD,6/22/1992,N,15,822375,4106344,25.1,FHCF,457,T,1,1075
SANTA FE,7/18/1991,F,15,817400,4118593,28,FHCF,458,T,1,1000
NEELYS,10/2/2001,HL,15,809534,4155918,20,FHCF,460,,1,750
,10/30/2007,D,15,811329,4128899,13.6,FHCF,460,T,1,1075
,9/28/2010,HL,15,810479,4136449,20.9,FHCF,460,T,1,1200
,10/7/2011,D,15,816579,4138549,19.4,FHCF,462,T,1,1080
,9/11/2023,D,15,809329,4156950,26.4,FHCF,464,T,1,1014
COTTONWOOD,10/5/2015,HS,16,278127,4166321,19.3,FHCF,464,T,1,1032
NEELY'S,9/29/2003,HL,15,809534,4155918,20.9,FHCF,465,T,1,750
MARQ,9/22/1997,HS,15,810629,4129749,24,FHCF,465,,1,960
,9/11/2023,D,16,278895,4155536,28.2,FHCF,470,T,1,1306
,9/28/2010,HL,15,810479,4136449,20.9,FHCF,471,T,1,1100
,6/24/1991,H,15,574556,4916802,24,FHCF,471,T,1,1150
Marquette,10/1/2019,HL,15,810129,4129899,23.9,FHCF,472,T,1,1037
,10/12/2023,D,15,815829,4142699,21.4,FHCF,474,T,1,1098
SANTA FE,9/17/2015,D,16,287090,4112143,24,FHCF,474,T,1,1142
BEDROCK,10/6/1997,HS,15,807279,4167150,21.9,FHCF,474,,1,1150
SANTAFE,10/12/1998,HL,15,817067,4118788,17.3,FHCF,475,,1,1150
Marquette,10/1/2019,HS,15,809529,4131249,23.9,FHCF,476,T,1,1043
,10/6/2014,D,15,811429,4138149,18.9,FHCF,476,T,1,1225
,10/16/1991,H,15,821510,4111087,16.6,FHCF,477,T,1,1200
,10/26/2010,HL,16,288762,4105216,16.6,FHCF,478,T,1,1050
,9/3/1991,N,15,534080,4938905,23,FHCF,479,T,1,1210
NEELYS,10/25/2006,HS,15,809534,4155918,12.2,FHCF,480,T,1,1560
,9/28/2010,HS,15,816379,4137449,20.9,FHCF,482,T,1,1100
,7/18/1990,H,15,534254,4938789,25.5,FHCF,482,T,1,1100
,10/18/2000,D,15,807779,4169250,15.9,FHCF,482,,1,1150
,9/22/2020,HL,15,810829,4129499,21.9,FHCF,482,T,1,1170
MUDDY,9/24/2002,HL,15,808293,4164767,22.2,FHCF,485,T,1,1000
SANTA FE,10/13/1992,G,15,818174,4117664,18.7,FHCF,485,T,1,1110
,10/4/1993,F,15,531429,4939883,9.6,FHCF,489,,1,1309
,10/10/2006,HS,15,813929,4122649,18.9,FHCF,490,T,1,1160
SANTEFE,9/27/2001,D,15,818130,4117749,21.6,FHCF,490,,1,1170
SANTA FE,9/18/2018,HS,15,816730,4118849,24.3,FHCF,490,T,1,1210
,9/28/2010,HL,15,816379,4137449,20.9,FHCF,491,T,1,1100
,10/28/2014,D,16,278821,4154350,16.2,FHCF,491,T,1,1160
M041.4E,10/5/1998,D,15,815030,4121344,23.4,FHCF,492,,1,1200
,10/16/2020,D,15,808829,4128749,18,FHCF,492,T,1,1214
,9/25/2017,HS,15,807329,4167800,26.6,FHCF,495,T,1,1196
NEELYS,10/17/2008,D,15,809534,4155918,19.4,FHCF,496,T,1,1325
,9/30/2019,D,15,813929,4125699,23.6,FHCF,496,T,1,1354
M074.9E,9/24/2002,HL,16,277555,4160274,23.1,FHCF,497,T,1,1250
M074.9E,9/24/2002,HL,16,277585,4160349,23.1,FHCF,499,T,1,1130
MUDDY,8/8/2023,HL,15,808293,4164767,26.5,FHCF,502,T,1,1270
,9/15/1998,HL,15,814788,4121764,25.5,FHCF,502,,1,1500
Cottonwood,10/1/2018,HL,15,807479,4167850,21.4,FHCF,503,T,1,1228
PICAY,10/1/1998,D,15,817529,4141199,23.7,FHCF,503,,1,1250
,8/21/1991,H,15,534080,4938905,24,FHCF,505,T,1,1850
Cottonwood,9/25/2017,HL,15,807429,4167850,26.6,FHCF,510,T,1,832
DITCH,10/2/2007,HS,15,808008,4127667,23.5,FHCF,510,T,1,1230
,10/7/2015,HS,16,280402,4125996,20.6,FHCF,511,T,1,1302
,8/14/2023,HL,15,812229,4152200,27.8,FHCF,511,T,1,1430
Cottonwood,9/23/2019,HL,15,807629,4168900,25.1,FHCF,520,T,1,1600
MARQ,9/16/2002,HL,16,278432,4126728,26,FHCF,522,T,1,1300
,10/21/2010,D,15,817929,4142349,17,FHCF,525,T,1,1620
,9/21/1992,H,15,807473,4163214,23.5,FHCF,525,T,1,1650
,7/7/1992,H,16,275798,4125010,29.1,FHCF,527,T,1,1725
,8/12/1991,H,15,810489,4128656,27,FHCF,528,T,1,1350
Cottonwood,10/1/2018,HS,15,807479,4167850,21.4,FHCF,528,T,1,1628
Cottonwood,9/25/2017,HS,15,807429,4167850,26.6,FHCF,530,T,1,1380
,8/11/1992,N,15,817495,4116734,26,FHCF,531,T,1,1500
,8/21/1991,H,15,534080,4938905,24,FHCF,531,T,1,1650
Cottonwood,10/1/2018,HS,15,807329,4167100,21.4,FHCF,531,T,1,1724
,8/21/1991,H,15,534080,4938905,24,FHCF,535,T,1,1700
,9/29/2020,HL,16,287919,4108451,21,FHCF,537,T,1,1604
,7/25/1990,H,15,531429,4939883,25,FHCF,537,,1,1800
,9/28/2010,HL,15,809229,4131549,20.9,FHCF,538,T,1,1500
,10/13/2011,D,15,809879,4130399,19,FHCF,538,T,1,1640
,9/23/2013,HS,15,812979,4151849,23.7,FHCF,542,T,1,1610
,10/16/2023,HL,15,819480,4114049,18.3,FHCF,543,T,1,1632
Cottonwood,10/5/2018,D,15,807379,4167250,20.6,FHCF,544,T,1,2728
,10/26/2015,D,16,278948,4133357,16.9,FHCF,545,T,1,2066
,7/27/1992,G,15,808251,4164767,29.5,FHCF,546,T,1,1675
,10/2/2007,HS,15,810579,4129799,23.4,FHCF,550,T,1,1580
,10/25/2011,HS,15,820680,4113649,16,FHCF,551,T,1,1654
DITCH,10/16/2020,D,15,808008,4127667,15.6,FHCF,552,T,1,1636
SANTA FE,9/16/2015,HS,16,284386,4115391,24.7,FHCF,554,T,1,1460
Santa Fe,9/26/2016,HL,15,820730,4113749,25,FHCF,554,T,1,1704
SANTA FE,9/22/2014,HS,15,820130,4115099,20.1,FHCF,559,T,1,2000
Santa FE,9/26/2016,HS,15,818430,4117299,25,FHCF,565,T,1,2024
M074.9E,9/24/2002,HS,16,277548,4160246,23.1,FHCF,565,T,1,2980
Santa Fe,9/27/2016,D,15,818280,4117799,24.9,FHCF,568,T,1,2012
,7/27/1992,G,15,808251,4164767,29.5,FHCF,570,T,1,1950
,10/9/1991,H,15,530985,4940020,12,FHCF,570,T,1,2050
,7/25/1990,H,15,531594,4939838,25,FHCF,570,T,1,2150
MARQ,9/22/1997,HL,15,810629,4129749,24,FHCF,571,,1,2000
,10/7/2011,D,15,813379,4138049,19.4,FHCF,580,T,1,1880
,10/25/2011,HS,15,820680,4113649,16,FHCF,580,T,1,1988
MUDDY,10/21/2009,HL,15,808293,4164767,,FHCF,580,T,1,2085
,7/25/1990,H,15,531429,4939883,25,FHCF,581,,1,2600
,9/26/2011,HL,16,285165,4144194,19,FHCF,582,T,1,1960
,7/25/1990,H,15,531429,4939883,25,FHCF,584,,1,1900
,9/26/2011,HL,16,285165,4144194,19,FHCF,584,T,1,1930
,8/21/2023,M,15,817480,4116749,28.9,FHCF,584,T,1,2098
,7/25/1990,H,15,531429,4939883,25,FHCF,590,,1,2500
Marquette,10/19/2021,HL,15,810929,4129199,19.5,FHCF,592,T,1,2192
,10/1/2018,HS,15,807429,4164350,21.2,FHCF,594,T,1,2250
,10/13/2020,HL,15,807229,4162800,19.3,FHCF,599,T,1,2345
,9/17/1991,X,15,581155,4915557,19,FHCF,599,T,1,2675
Bumgard,9/28/2016,HS,15,821980,4106899,24.2,FHCF,601,T,1,2442
,8/28/1990,H,15,531429,4939883,23.5,FHCF,602,T,1,2890
,7/26/1990,H,15,575434,4916613,24,FHCF,603,T,1,2500
,7/25/1990,H,15,531429,4939883,25,FHCF,603,,1,2500
MARQUETTE,10/3/2001,HL,16,277083,4129599,19.3,FHCF,605,,1,2800
,9/23/2003,HS,15,814229,4127349,20.7,FHCF,608,T,1,2260
M040.4E,10/4/2000,D,15,815870,4120079,20.4,FHCF,610,,1,3150
,9/26/2011,HL,15,815979,4137349,19,FHCF,612,T,1,2810
M074.9E,9/24/2002,HS,16,277548,4160246,23.1,FHCF,613,T,1,2150
,9/29/2003,HL,15,812729,4152299,20.4,FHCF,617,T,1,2210
Cottonwood,10/5/2018,D,15,807379,4167250,20.6,FHCF,620,T,1,2628
Santa Fe,9/16/2020,HL,15,820780,4113849,25,FHCF,621,T,1,2462
Cottonwood,9/23/2019,HL,15,807629,4168900,25.1,FHCF,625,T,1,2680
SANTAFE,10/12/1998,HL,15,817067,4118788,17.3,FHCF,630,,1,2080
,10/10/2006,HS,15,817080,4117499,18.8,FHCF,630,T,1,2960
SANTA FE,9/18/2002,HL,16,287674,4110221,22.8,FHCF,630,T,1,3000
Santa Fe,9/16/2020,HL,15,820430,4114899,24.4,FHCF,636,T,1,2904
,6/18/1992,N,15,816643,4143917,25.9,FHCF,645,T,1,3275
Bumgard,10/19/2021,HL,15,822030,4107099,20,FHCF,649,T,1,3014
Cottonwood,9/23/2019,HL,15,807629,4168900,25.1,FHCF,650,T,1,3375
Bumgard,9/28/2016,HL,15,822630,4105649,24.4,FHCF,654,T,1,3648
,9/28/2010,HL,15,809229,4131549,20.9,FHCF,655,T,1,2700
Santa Fe,10/18/2021,D,15,820780,4113799,19.6,FHCF,657,T,1,3028
,9/20/2007,D,15,807329,4167200,23.1,FHCF,660,T,1,3585
,10/4/1993,F,15,531429,4939883,9.6,FHCF,660,,1,3825
,10/13/2020,HL,16,277864,4163442,19.4,FHCF,663,T,1,2835
,8/15/1990,H,15,575434,4916613,23,FHCF,664,T,1,3450
,9/29/2004,HL,15,810179,4136149,22,FHCF,666,T,1,3340
,8/12/1991,H,15,574927,4916798,23,FHCF,670,T,1,3380
,7/7/1992,H,16,275798,4125010,29.1,FHCF,672,T,1,4175
,7/8/1991,H,15,534080,4938905,24,FHCF,680,T,1,4050
,7/8/1991,H,15,534080,4938905,24,FHCF,685,T,1,4000
,9/28/2010,HL,15,809229,4131549,20.9,FHCF,699,T,1,3400
Santa Fe,9/26/2016,HL,15,820730,4113749,25,FHCF,700,T,1,3816
BUMGARD,9/18/2018,HL,15,822630,4105749,24,FHCF,708,T,1,4160
,8/8/1990,X,15,581350,4915368,24,FHCF,708,T,1,4800
NEELYS,9/25/2023,HL,15,809534,4155918,25.1,FHCF,710,T,1,3850
MARQUETTE,10/4/2001,GL,16,278440,4126773,18.9,FHCF,719,,1,5000
Marquette,10/1/2019,HL,15,810129,4129899,23.9,FHCF,728,T,1,4745
,10/11/2010,HL,15,821130,4112499,18.3,FHCF,732,T,1,4265
Marquette,9/24/2018,HS,15,809479,4131099,24.4,FHCF,735,T,1,4330
,6/15/2004,HL,15,807879,4169250,26,FHCF,740,T,1,4385
NEELYS,10/17/2016,HL,15,809534,4155918,18.5,FHCF,742,T,1,4106
Cottonwood,9/23/2019,HL,15,807629,4168900,25.1,FHCF,742,T,1,5418
,7/8/1991,H,15,534080,4938905,24,FHCF,745,T,1,5210
,9/23/2019,HS,15,807279,4162550,25.1,FHCF,765,T,1,6025
,7/25/1990,H,15,531429,4939883,25,FHCF,788,,1,6000
,8/17/1992,H,15,807917,4167674,25.2,FHCF,802,T,1,7450
,10/12/2021,HL,15,808779,4132149,22.9,FHCF,803,T,1,5272
DITCH,9/20/2021,HL,15,808008,4127667,24.9,FHCF,808,T,1,6308
BEDROCK,8/13/1992,D,15,807321,4167599,26.4,FHCF,832,T,1,8050
,7/2/1991,D,15,816643,4143917,27.8,FHCF,840,T,1,7800
,8/21/2023,HS,15,816079,4144699,28.8,FHCF,846,T,1,6726
,6/24/1991,H,15,574556,4916802,24,FHCF,850,T,1,8150
Bumgard,10/19/2021,HL,15,822030,4107099,20,FHCF,857,T,1,7520
,9/28/2010,HL,15,809229,4131549,20.9,FHCF,864,T,1,7500
,7/8/1991,H,15,534080,4938905,24,FHCF,895,T,1,9000
M064.0E,10/1/2001,HL,16,285020,4144673,21.2,FHCF,896,,1,9350
32,9/18/2023,HS,16,276999,4129851,24.1,FHCF,906,T,1,8108
DITCH,9/29/2021,D,15,808008,4127667,22.7,FHCF,910,T,1,9912
,6/30/2009,HL,15,811079,4129349,28.5,FHCF,944,T,1,12933
,7/8/1991,H,15,534080,4938905,24,FHCF,945,T,1,11500
,9/21/2018,D,15,809479,4128399,25.3,FHCF,946,T,1,12300
156,10/7/2013,HS,16,284945,4143013,22.4,FHCF,947,T,1,9460
,9/23/1991,T,15,534341,4938681,14,FHCF,960,T,1,12000
NEELYS,9/24/2002,HL,15,809534,4155918,23.3,FHCF,980,T,1,11400
,9/25/2023,HS,15,816229,4145999,24.5,FHCF,985,T,1,10786
,8/14/2023,HL,15,812229,4152200,27.8,FHCF,1000,T,1,13160
,7/8/1991,H,15,534080,4938905,24,FHCF,1000,T,1,20000
,8/12/1991,H,15,574927,4916798,23,FHCF,1000,T,1,20000
796,8/28/2017,HS,15,531148,4939982,21.2,FHCF,1050,T,1,16000
,9/29/2004,HL,15,810179,4136149,22,FHCF,1100,T,1,18365
Cottonwood,9/23/2019,HL,15,807629,4168900,25.1,FHCF,1120,T,1,18600
,9/21/2022,HL,15,585180,4909208,21.6,FHCF,1130,T,1,24000
MARQ,9/27/1999,HL,15,809021,4131983,21.5,FHCF,1150,,1,17050
